section,title,description
1,"Short title, extent and commencement","(1) This Act may be called the Industrial Relations Code, 2020. (2) It shall extend to the whole of India. (3) It shall come into force on such date1 as the Central Government may, by notification in the Official Gazette, appoint; and different dates may be appointed for different provisions of this Code and any reference in any such provision to the commencement of this Code shall be construed as a reference to the coming into force of that provision."
2,Definitions,"In this Code, unless the context otherwise requires,— (a) “appellate authority” means an authority appointed by the appropriate Government to exercise such functions in such area as may be specified by that Government by notification in the Official Gazette; (b) “appropriate Government” means,— (i) in relation to any industrial establishment or undertaking carried on by or under the authority of the Central Government or concerning any such controlled industry as may be specified in this behalf by the Central Government or the establishment of railways including metro railways, mines, oil fields, major ports, air transport service, telecommunication, banking and insurance company or a corporation or other authority established by a Central Act or a central public sector undertaking, subsidiary companies set up by the principal undertakings or autonomous bodies owned or controlled by the Central Government including establishments of the contractors for the purposes of such establishment, corporation, other authority, public sector undertakings or any company in which not less than fifty-one per cent. of the paid-up share capital is held by the Central Government, as the case may be, the Central Government. Explanation.—For the purposes of this clause, the Central Government shall continue to be the appropriate Government for central public sector undertakings even if the holding of the Central Government reduces to less than fifty per cent. equity in that public sector undertaking after the commencement of this Code; (ii) in relation to any other industrial establishment, including State public sector undertakings, subsidiary companies set up by the principal undertaking and autonomous bodies owned or controlled by the State Government, the State Government: 1. 21st day"
3,Works Committee,"(1) In the case of any industrial establishment in which one hundred or more workers are employed or have been employed on any day in the preceding twelve months, the appropriate Government may by general or special order require the employer to constitute a Works Committee, in such manner as may be prescribed, consisting of representatives of employer and workers engaged in the establishment: Provided that the number of representatives of workers in such Committee shall not be less than the number of representatives of the employer. (2) The representatives of the workers shall be chosen, in such manner as may be prescribed, from among the workers engaged in the establishment and in consultation with their Trade Union, if any, registered in accordance with the provisions of section 9. (3) It shall be the duty of the Works Committee to promote measures for securing and preserving amity and good relations between the employer and workers and, to that end, to comment upon matters of their common interest or concern and endeavour to compose any material difference of opinion in respect of such matters."
4,Grievance Redressal Committee,"(1) Every industrial establishment employing twenty or more workers shall have one or more Grievance Redressal Committees for resolution of disputes arising out of individual grievances. (2) The Grievance Redressal Committee shall consist of equal number of members representing the employer and the workers to be chosen in such manner as may be prescribed. (3) The chairperson of the Grievance Redressal Committee shall be selected from among persons representing the employer and the workers alternatively on rotational basis every year. (4) The total number of members of the Grievance Redressal Committee shall not exceed ten: Provided that there shall be adequate representation of women workers in the Grievance Redressal Committee and such representation shall not be less than the proportion of women workers to the total workers employed in the industrial establishment. (5) An application in respect of any dispute referred to in sub-section (1) may be filed before the Grievance Redressal Committee by any aggrieved worker in such manner as may be prescribed within one year from the date on which the cause of action of such dispute arises. (6) The Grievance Redressal Committee may complete its proceedings within thirty days of receipt of the application under sub-section (5). (7) The decision of the Grievance Redressal Committee on any application filed under sub-section (5) shall be made on the basis of majority view of the Committee, provided more than half of the members representing the workers have agreed to such decision, otherwise it shall be deemed that no decision could be arrived at by the Committee. (8) The worker who is aggrieved by the decision of the Grievance Redressal Committee or whose grievance is not resolved in the said Committee within the period specifi"
5,Registrar of Trade Unions,"(1) The State Government may, by notification, appoint a person to be the Registrar of Trade Unions, and other persons as Additional Registrar of Trade Unions, Joint Registrar of Trade Unions and Deputy Registrar of Trade Unions, who shall exercise such powers and perform such duties of the Registrar as the State Government may, by notification, specify from time to time. (2) Subject to the provisions of any order made by the State Government, where an Additional Registrar of Trade Unions or a Joint Registrar of Trade Unions or a Deputy Registrar of Trade Unions exercises the powers and performs the duties of the Registrar in an area within which the registered office of a Trade Union is situated, such Additional Registrar of Trade Unions or a Joint Registrar of Trade Unions or a Deputy Registrar of Trade Unions, as the case may be, shall be deemed to be the Registrar in relation to that Trade Union for the purposes of this Code."
6,Criteria for registration,"(1) Any seven or more members of a Trade Union may, by subscribing their names to the rules of the Trade Union and by otherwise complying with the provisions of this Code with respect to registration, apply for registration of the Trade Union under this Code. (2) No Trade Union of workers shall be registered unless at least ten per cent. of the workers or one hundred workers, whichever is less, engaged or employed in the industrial establishment or industry with which it is connected are the members of such Trade Union on the date of making of application for registration. (3) Where an application has been made under sub-section (1) for registration of a Trade Union, such application shall not be deemed to have become invalid merely by reason of the fact that, at any time after the date of the application but before the registration of the Trade Union, some of the applicants, but not exceeding half of the total number of persons who made the application, have ceased to be members of the Trade Union or have given notice in writing to the Registrar dissociating themselves from the application. (4) A registered Trade Union of workers shall at all times continue to have not less than ten per cent. of the workers or one hundred workers, whichever is less, subject to a minimum of seven, engaged or employed in an industrial establishment or industry with which it is connected, as its members."
7,Provisions to be contained in constitution or rules of Trade Union,"A Trade Union shall not be entitled to registration under this Code, unless the executive thereof is constituted in accordance with the provisions of this Code, and the rules of the Trade Union provide for the following matters, namely:— (a) the name of the Trade Union; (b) the whole of the objects for which the Trade Union has been established; (c) the whole of the purposes for which the general funds of the Trade Union shall be applicable, all of which purposes shall be purposes to which such funds are lawfully applicable under this Code; (d) the maintenance of a list of members of the Trade Union and adequate facilities for the inspection thereof by the office-bearers and members of the Trade Union; (e) the admission of ordinary members (irrespective of their craft or category) who shall be persons actually engaged or employed in the industrial establishment, undertaking or industry, or units, branches or offices of an industrial establishment, as the case may be, with which the Trade Union is connected, and also the admission of such number of honorary or temporary members, who are not such workers, as are not permitted under section 21 to be office-bearers to form the executive of the Trade Union; (f) the payment of a subscription by members of the Trade Union from such members and others, as may be prescribed; (g) the conditions under which any member shall be entitled to any benefit assured by the rules and under which any fine or forfeiture may be imposed on any member; (h) the annual general body meeting of the members of the Trade Union, the business to be transacted at such meeting, including the election of office-bearers of the Trade Union; (i) the manner in which the members of the executive and the other office bearers of the Trade Union shall be elected "
8,"Application for registration, alteration of name and procedure thereof","(1) Every application for registration of a Trade Union shall be made to the Registrar electronically or otherwise and be accompanied by— (a) a declaration to be made by an affidavit in such form and manner as may be prescribed; (b) copy of the rules of the Trade Union together with a copy of the resolution by the members of the Trade Union adopting such rules; (c) a copy of the resolution adopted by the members of the Trade Union authorising the applicants to make an application for registration; and (d) in the case of a Trade Union, being a federation or a central organisation of Trade Unions, a copy of the resolution adopted by the members of each of the member Trade Unions, meeting separately, agreeing to constitute a federation or a central organisation of Trade Unions. Explanation.—For the purposes of this clause, resolution adopted by the members of the Trade Union means, in the case of a Trade Union, being a federation or a central organisation of Trade Unions, the resolution adopted by the members of each of the member Trade Unions, meeting separately. (2) Where a Trade Union has been in existence for more than one year before the making of an application for its registration, there shall be delivered to the Registrar, together with the application, a general statement of the assets and liabilities of the Trade Union prepared in such form and containing such particulars, as may be prescribed. (3) The Registrar may call for further information for the purpose of satisfying himself that the application complies with the provisions of this Code and the Trade Union is entitled for registration under this Code, and may refuse to register the Trade Union until such information is furnished. (4) If the name under which the Trade Union is proposed to be registered is i"
9,Registration of Trade Union and cancellation thereof,"(1) The Registrar shall, on being satisfied that the Trade Union has complied with all the requirements of the provisions of this Chapter in regard to registration, register the Trade Union by entering in a register, to be maintained in such form as may be prescribed, the particulars relating to the Trade Union contained in the statement accompanying the application for registration. (2) Where the Registrar makes an order for registration of a Trade Union, he shall issue a certificate of registration to the applicant Trade Union, in such form as may be prescribed, which shall be the conclusive evidence that the Trade Union has been registered under this Code. (3) If the Registrar has issued a certificate of registration to a Trade Union, he shall enter the name and other particulars of the Trade Union in a register maintained in this behalf in such form as may be prescribed. (4) Every Trade Union registered under the Trade Unions Act, 1926 having valid registration immediately before the commencement of this Code shall be deemed to have been registered under this Code: Provided that such Trade Union shall file with the Registrar a statement that the constitution of the executive of the Trade Union is in accordance with this Code along with the rules of the Trade Union updated in accordance with section 7, and the Registrar shall amend his records accordingly. (5) The certificate of registration of a Trade Union may be withdrawn or cancelled by the Registrar,— (i) on the application of the Trade Union verified in such manner as may be prescribed; or (ii) on the information received by him regarding the contravention by the Trade Union of the provisions of this Code or the rules made thereunder or its constitution or rules; or (iii) if he is satisfied that the members in "
10,Appeal against non-registration or cancellation of registration,"(1) Any person aggrieved by the refusal of the Registrar to grant registration to a Trade Union under section 9 or by cancellation of a certificate of registration under sub-section (5) of the said section, may within such period as may be prescribed, prefer an appeal to the Tribunal: Provided that the Tribunal may entertain the appeal after the limitation prescribed for preferring the appeal under this sub-section, if the appellant satisfies the Tribunal that such delay has been caused due to sufficient reason or unavoidable circumstances. (2) The Tribunal may, after giving the parties concerned an opportunity of being heard, dismiss the appeal or pass an order directing the Registrar to register the Trade Union and to issue a certificate of registration or set aside the order of cancellation of certificate of registration, as the case may be and forward a copy of such order to the Registrar."
