section,offence,punishment
43,"Damage to a computer or computer system (unauthorised access, downloading data, introducing a virus, or denial of service)","Liable to pay compensation to the affected person."
65,"Tampering with computer source documents","Imprisonment up to 3 years and/or fine up to Rs. 2,00,000."
66,"Computer-related offences (dishonestly or fraudulently doing any act referred to in section 43)","Imprisonment up to 3 years and/or fine up to Rs. 5,00,000."
66B,"Dishonestly receiving a stolen computer resource or communication device","Imprisonment up to 3 years and/or fine up to Rs. 1,00,000."
66C,"Identity theft (fraudulent or dishonest use of another person's password, electronic signature or other unique identification)","Imprisonment up to 3 years and fine up to Rs. 1,00,000."
66D,"Cheating by personation by using a computer resource","Imprisonment up to 3 years and fine up to Rs. 1,00,000."
66E,"Violation of privacy (capturing, publishing or transmitting the private image of a person without consent)","Imprisonment up to 3 years and/or fine up to Rs. 2,00,000."
66F,"Cyber terrorism","Imprisonment which may extend to imprisonment for life."
67,"Publishing or transmitting obscene material in electronic form","First conviction: imprisonment up to 3 years and fine up to Rs. 5,00,000; subsequent: imprisonment up to 5 years and fine up to Rs. 10,00,000."
67A,"Publishing or transmitting material containing sexually explicit acts in electronic form","First conviction: imprisonment up to 5 years and fine up to Rs. 10,00,000; subsequent: imprisonment up to 7 years and fine up to Rs. 10,00,000."
67B,"Publishing or transmitting material depicting children in sexually explicit acts","First conviction: imprisonment up to 5 years and fine up to Rs. 10,00,000; subsequent: imprisonment up to 7 years and fine up to Rs. 10,00,000."
72,"Breach of confidentiality and privacy","Imprisonment up to 2 years and/or fine up to Rs. 1,00,000."
