section,cognizable,bailable,court,unambiguous,raw_cognizable,raw_bailable,raw_court,offence
1,,,,no,5,,6,2
49,,,,no,as According abetted offence or bailable non-bailable.,as abetted is or,Court by which offence abetted is t r i a ble.,"Abetment of any offence, if the act abetted is committed in consequence, and where no express provision is made for its "
50,,,,no,as According abetted offence or bailable non-bailable.,as abetted is or,Court by which offence abetted is t r i a ble.,"Abetment of any offence, if the person abetted does act with different intention from that of abettor."
51,,,,no,as According abetted offence or bailable non-bailable.,as abetted is or,Court by which offence abetted is triable.,"Abetment of any offence, when one act is abetted and a different act is done; subject to the proviso."
52,,,,no,as According abetted offence or bailable non-bailable.,as abetted is or,Court by which offence abetted is t r i able.,Abettor when liable to cumulative punishment for act abetted and for act done.
53,,,,no,as According abetted offence or bailable non-bailable.,as abetted is or,Court by which offence abetted is t riable.,"Abetment of any offence, when an effect is caused by the act abetted different from that intended by the abettor."
54,,,,no,as According abetted offence or bailable non-bailable. as Non-bailable.,as abetted is or,Court by which offence abetted is t r i a b le. Court by which,"Abetment of any offence, if abettor present when offence is committed. Abetment of an offence,"
55,,,,no,abetted or as Non-bailable. abetted or,,offence abetted is triable. Court by which offence abetted is triable.,"punishable with death or imprisonment for life, if the offence be not committed in consequence of the abetment. If an ac"
56,,,,no,as According abetted offence or bailable non-bailable. as According abetted offe,as abetted is or as abetted is or,Court by which offence abetted is t r i able. Court by which offence abetted is ,"Abetment of an offence, punishable with imprisonment, if the offence be not committed in consequence of the abetment. If"
57,,Bailable,,no,as According abetted offence or bailable non-bailable. as Non-bailable. abetted ,as abetted is or as abetted is or Non-bailable. Bailable. According as offence a,Court by which offence abetted is triable. Court by which offence abetted is tri,Abetting commission of an offence by the public or by more than ten persons. Concealing design to commit offence punisha
61,,,,no,as the which is object of is or,According as offence which is object of conspiracy is bailable or non-bailable.,Court by which abetment of the offence which is the object of conspiracy is tria,"Criminal conspiracy to Same commit an offence abetment punishable with death, offence imprisonment for life or object ri"
62,,,,no,as the offence is or,According as the offence attempted by the offender is bailable or non-bailable.,The court by which the offence attempted is triable.,"Attempting to commit One offence punishable with imprisonment imprisonment for life, life, or imprisonment, and in not s"
64,Cognizable,Non-bailable,Court of Session,yes,Cognizable.,Non-bailable.,Court of Session.,Rape. Rigorous for but imprisonment and
65,Cognizable,Non-bailable,Court of Session,yes,Cognizable.,Non-bailable.,Court of Session.,Persons committing Rigorous offence of rape on a for woman under sixteen but years of age. imprisonment which imprisonme
66,Cognizable,Non-bailable,Court of Session,yes,Cognizable.,Non-bailable.,Court of Session.,Person committing an offence of rape and inflicting injury which causes death or causes the woman to be in a persistent 
67,,Bailable,Court of Session,no,Cognizable (only on the complaint of the victim).,Bailable.,Court of Session.,Sexual intercourse by husband upon his wife during separation.
68,Cognizable,Non-bailable,Court of Session,yes,Cognizable.,Non-bailable.,Court of Session.,"Sexual intercourse by a person in authority, etc."
69,Cognizable,Non-bailable,Court of Session,yes,Cognizable.,Non-bailable.,Court of Session.,"Sexual intercourse by employing deceitful means, etc."
70,Cognizable,Non-bailable,Court of Session,yes,Cognizable.,Non-bailable.,Court of Session.,Gang rape.
71,Cognizable,Non-bailable,Court of Session,yes,Cognizable.,Non-bailable.,Court of Session.,Repeat offenders.
72,Cognizable,Bailable,Any Magistrate,yes,Cognizable.,Bailable.,Any Magistrate.,"Disclosure of identity of the victim of certain offences, etc."
